id,day,time_slot,class_id,subject_id,teacher_id,room,notes,created_at,academic_year_id
91,Tuesday,09:40-10:20,4,13,8,,,2026-05-23 21:57:01.334824,1
92,Tuesday,09:40-10:20,5,13,5,,,2026-05-23 21:57:01.334824,1
93,Tuesday,09:40-10:20,6,14,5,,,2026-05-23 21:57:01.334824,1
94,Tuesday,09:40-10:20,7,13,4,,,2026-05-23 21:57:01.334824,1
96,Tuesday,10:40-11:20,4,10,8,,,2026-05-23 21:57:01.334824,1
97,Tuesday,10:40-11:20,5,11,11,,,2026-05-23 21:57:01.334824,1
98,Tuesday,10:40-11:20,6,9,5,,,2026-05-23 21:57:01.334824,1
99,Tuesday,10:40-11:20,7,13,4,,,2026-05-23 21:57:01.334824,1
101,Tuesday,11:20-12:00,4,10,8,,,2026-05-23 21:57:01.334824,1
102,Tuesday,11:20-12:00,5,11,11,,,2026-05-23 21:57:01.334824,1
103,Tuesday,11:20-12:00,6,9,5,,,2026-05-23 21:57:01.334824,1
104,Tuesday,11:20-12:00,7,14,4,,,2026-05-23 21:57:01.334824,1
106,Tuesday,13:00-13:40,4,11,11,,,2026-05-23 21:57:01.334824,1
107,Tuesday,13:00-13:40,5,9,5,,,2026-05-23 21:57:01.334824,1
108,Tuesday,13:00-13:40,6,12,6,,,2026-05-23 21:57:01.334824,1
109,Tuesday,13:00-13:40,7,10,3,,,2026-05-23 21:57:01.334824,1
111,Tuesday,13:40-14:20,4,9,5,,,2026-05-23 21:57:01.334824,1
112,Tuesday,13:40-14:20,5,10,8,,,2026-05-23 21:57:01.334824,1
113,Tuesday,13:40-14:20,6,12,6,,,2026-05-23 21:57:01.334824,1
114,Tuesday,13:40-14:20,7,11,11,,,2026-05-23 21:57:01.334824,1
116,Tuesday,14:20-15:00,4,14,8,,,2026-05-23 21:57:01.334824,1
117,Tuesday,14:20-15:00,5,12,6,,,2026-05-23 21:57:01.334824,1
118,Tuesday,14:20-15:00,6,9,5,,,2026-05-23 21:57:01.334824,1
119,Tuesday,14:20-15:00,7,11,11,,,2026-05-23 21:57:01.334824,1
121,Tuesday,15:20-16:00,4,11,11,,,2026-05-23 21:57:01.334824,1
122,Tuesday,15:20-16:00,5,14,5,,,2026-05-23 21:57:01.334824,1
123,Tuesday,15:20-16:00,6,10,8,,,2026-05-23 21:57:01.334824,1
124,Tuesday,15:20-16:00,7,10,3,,,2026-05-23 21:57:01.334824,1
126,Tuesday,16:00-16:40,4,11,11,,,2026-05-23 21:57:01.334824,1
127,Tuesday,16:00-16:40,5,14,5,,,2026-05-23 21:57:01.334824,1
128,Tuesday,16:00-16:40,6,10,8,,,2026-05-23 21:57:01.334824,1
129,Tuesday,16:00-16:40,7,10,3,,,2026-05-23 21:57:01.334824,1
131,Wednesday,08:20-09:00,4,13,8,,,2026-05-23 21:57:01.334824,1
132,Wednesday,08:20-09:00,5,11,11,,,2026-05-23 21:57:01.334824,1
133,Wednesday,08:20-09:00,6,9,5,,,2026-05-23 21:57:01.334824,1
134,Wednesday,08:20-09:00,7,13,4,,,2026-05-23 21:57:01.334824,1
136,Wednesday,09:00-09:40,4,13,8,,,2026-05-23 21:57:01.334824,1
137,Wednesday,09:00-09:40,5,11,11,,,2026-05-23 21:57:01.334824,1
138,Wednesday,09:00-09:40,6,9,5,,,2026-05-23 21:57:01.334824,1
139,Wednesday,09:00-09:40,7,13,4,,,2026-05-23 21:57:01.334824,1
141,Wednesday,09:40-10:20,4,11,11,,,2026-05-23 21:57:01.334824,1
142,Wednesday,09:40-10:20,5,9,5,,,2026-05-23 21:57:01.334824,1
143,Wednesday,09:40-10:20,6,10,8,,,2026-05-23 21:57:01.334824,1
144,Wednesday,09:40-10:20,7,14,4,,,2026-05-23 21:57:01.334824,1
146,Wednesday,10:40-11:20,4,11,11,,,2026-05-23 21:57:01.334824,1
147,Wednesday,10:40-11:20,5,9,5,,,2026-05-23 21:57:01.334824,1
148,Wednesday,10:40-11:20,6,14,5,,,2026-05-23 21:57:01.334824,1
149,Wednesday,10:40-11:20,7,11,11,,,2026-05-23 21:57:01.334824,1
151,Wednesday,11:20-12:00,4,14,8,,,2026-05-23 21:57:01.334824,1
152,Wednesday,11:20-12:00,5,14,5,,,2026-05-23 21:57:01.334824,1
153,Wednesday,11:20-12:00,6,14,5,,,2026-05-23 21:57:01.334824,1
154,Wednesday,11:20-12:00,7,11,11,,,2026-05-23 21:57:01.334824,1
156,Wednesday,13:00-13:40,4,9,5,,,2026-05-23 21:57:01.334824,1
157,Wednesday,13:00-13:40,5,14,5,,,2026-05-23 21:57:01.334824,1
158,Wednesday,13:00-13:40,6,11,11,,,2026-05-23 21:57:01.334824,1
159,Wednesday,13:00-13:40,7,14,4,,,2026-05-23 21:57:01.334824,1
161,Wednesday,13:40-14:20,4,9,5,,,2026-05-23 21:57:01.334824,1
162,Wednesday,13:40-14:20,5,10,8,,,2026-05-23 21:57:01.334824,1
163,Wednesday,13:40-14:20,6,11,11,,,2026-05-23 21:57:01.334824,1
164,Wednesday,13:40-14:20,7,9,3,,,2026-05-23 21:57:01.334824,1
166,Wednesday,14:20-15:00,4,12,6,,,2026-05-23 21:57:01.334824,1
167,Wednesday,14:20-15:00,5,10,8,,,2026-05-23 21:57:01.334824,1
168,Wednesday,14:20-15:00,6,9,5,,,2026-05-23 21:57:01.334824,1
169,Wednesday,14:20-15:00,7,10,3,,,2026-05-23 21:57:01.334824,1
171,Thursday,08:20-09:00,4,9,5,,,2026-05-23 21:57:01.334824,1
172,Thursday,08:20-09:00,5,9,5,,,2026-05-23 21:57:01.334824,1
173,Thursday,08:20-09:00,6,10,8,,,2026-05-23 21:57:01.334824,1
174,Thursday,08:20-09:00,7,9,3,,,2026-05-23 21:57:01.334824,1
176,Thursday,09:00-09:40,4,9,5,,,2026-05-23 21:57:01.334824,1
177,Thursday,09:00-09:40,5,9,5,,,2026-05-23 21:57:01.334824,1
178,Thursday,09:00-09:40,6,10,8,,,2026-05-23 21:57:01.334824,1
179,Thursday,09:00-09:40,7,9,3,,,2026-05-23 21:57:01.334824,1
181,Thursday,09:40-10:20,4,14,8,,,2026-05-23 21:57:01.334824,1
182,Thursday,09:40-10:20,5,14,5,,,2026-05-23 21:57:01.334824,1
183,Thursday,09:40-10:20,6,13,4,,,2026-05-23 21:57:01.334824,1
184,Thursday,09:40-10:20,7,11,11,,,2026-05-23 21:57:01.334824,1
186,Thursday,10:40-11:20,4,10,8,,,2026-05-23 21:57:01.334824,1
187,Thursday,10:40-11:20,5,11,11,,,2026-05-23 21:57:01.334824,1
188,Thursday,10:40-11:20,6,14,5,,,2026-05-23 21:57:01.334824,1
189,Thursday,10:40-11:20,7,11,11,,,2026-05-23 21:57:01.334824,1
191,Thursday,11:20-12:00,4,10,8,,,2026-05-23 21:57:01.334824,1
192,Thursday,11:20-12:00,5,13,5,,,2026-05-23 21:57:01.334824,1
193,Thursday,11:20-12:00,6,11,11,,,2026-05-23 21:57:01.334824,1
194,Thursday,11:20-12:00,7,14,4,,,2026-05-23 21:57:01.334824,1
196,Thursday,13:00-13:40,4,9,5,,,2026-05-23 21:57:01.334824,1
197,Thursday,13:00-13:40,5,11,11,,,2026-05-23 21:57:01.334824,1
198,Thursday,13:00-13:40,6,10,8,,,2026-05-23 21:57:01.334824,1
199,Thursday,13:00-13:40,7,10,3,,,2026-05-23 21:57:01.334824,1
201,Thursday,13:40-14:20,4,9,5,,,2026-05-23 21:57:01.334824,1
202,Thursday,13:40-14:20,5,11,11,,,2026-05-23 21:57:01.334824,1
203,Thursday,13:40-14:20,6,12,6,,,2026-05-23 21:57:01.334824,1
204,Thursday,13:40-14:20,7,10,3,,,2026-05-23 21:57:01.334824,1
206,Thursday,14:20-15:00,4,14,8,,,2026-05-23 21:57:01.334824,1
207,Thursday,14:20-15:00,5,12,6,,,2026-05-23 21:57:01.334824,1
208,Thursday,14:20-15:00,6,9,5,,,2026-05-23 21:57:01.334824,1
209,Thursday,14:20-15:00,7,11,11,,,2026-05-23 21:57:01.334824,1
211,Thursday,15:20-16:00,4,14,8,,,2026-05-23 21:57:01.334824,1
212,Thursday,15:20-16:00,5,9,5,,,2026-05-23 21:57:01.334824,1
213,Thursday,15:20-16:00,6,11,11,,,2026-05-23 21:57:01.334824,1
214,Thursday,15:20-16:00,7,12,6,,,2026-05-23 21:57:01.334824,1
216,Thursday,16:00-16:40,4,14,8,,,2026-05-23 21:57:01.334824,1
217,Thursday,16:00-16:40,5,9,5,,,2026-05-23 21:57:01.334824,1
218,Thursday,16:00-16:40,6,11,11,,,2026-05-23 21:57:01.334824,1
219,Thursday,16:00-16:40,7,12,6,,,2026-05-23 21:57:01.334824,1
221,Friday,08:20-09:00,4,9,5,,,2026-05-23 21:57:01.334824,1
222,Friday,08:20-09:00,5,10,8,,,2026-05-23 21:57:01.334824,1
223,Friday,08:20-09:00,6,13,4,,,2026-05-23 21:57:01.334824,1
224,Friday,08:20-09:00,7,11,11,,,2026-05-23 21:57:01.334824,1
226,Friday,09:00-09:40,4,9,5,,,2026-05-23 21:57:01.334824,1
227,Friday,09:00-09:40,5,10,8,,,2026-05-23 21:57:01.334824,1
228,Friday,09:00-09:40,6,13,4,,,2026-05-23 21:57:01.334824,1
229,Friday,09:00-09:40,7,11,11,,,2026-05-23 21:57:01.334824,1
231,Friday,09:40-10:20,4,13,8,,,2026-05-23 21:57:01.334824,1
232,Friday,09:40-10:20,5,13,5,,,2026-05-23 21:57:01.334824,1
233,Friday,09:40-10:20,6,11,11,,,2026-05-23 21:57:01.334824,1
234,Friday,09:40-10:20,7,10,3,,,2026-05-23 21:57:01.334824,1
236,Friday,10:40-11:20,4,10,8,,,2026-05-23 21:57:01.334824,1
237,Friday,10:40-11:20,5,11,11,,,2026-05-23 21:57:01.334824,1
238,Friday,10:40-11:20,6,9,5,,,2026-05-23 21:57:01.334824,1
239,Friday,10:40-11:20,7,10,3,,,2026-05-23 21:57:01.334824,1
241,Friday,11:20-12:00,4,10,8,,,2026-05-23 21:57:01.334824,1
242,Friday,11:20-12:00,5,11,11,,,2026-05-23 21:57:01.334824,1
243,Friday,11:20-12:00,6,9,5,,,2026-05-23 21:57:01.334824,1
244,Friday,11:20-12:00,7,9,3,,,2026-05-23 21:57:01.334824,1
246,Friday,13:00-13:40,4,12,6,,,2026-05-23 21:57:01.334824,1
247,Friday,13:00-13:40,5,9,5,,,2026-05-23 21:57:01.334824,1
248,Friday,13:00-13:40,6,11,11,,,2026-05-23 21:57:01.334824,1
249,Friday,13:00-13:40,7,9,3,,,2026-05-23 21:57:01.334824,1
251,Friday,13:40-14:20,4,13,8,,,2026-05-23 21:57:01.334824,1
252,Friday,13:40-14:20,5,9,5,,,2026-05-23 21:57:01.334824,1
253,Friday,13:40-14:20,6,11,11,,,2026-05-23 21:57:01.334824,1
254,Friday,13:40-14:20,7,9,3,,,2026-05-23 21:57:01.334824,1
256,Friday,14:20-15:00,4,13,8,,,2026-05-23 21:57:01.334824,1
257,Friday,14:20-15:00,5,13,5,,,2026-05-23 21:57:01.334824,1
258,Friday,14:20-15:00,6,14,4,,,2026-05-23 21:57:01.334824,1
259,Friday,14:20-15:00,7,12,6,,,2026-05-23 21:57:01.334824,1
261,Friday,15:20-16:00,4,10,8,,,2026-05-23 21:57:01.334824,1
262,Friday,15:20-16:00,5,13,5,,,2026-05-23 21:57:01.334824,1
263,Friday,15:20-16:00,6,11,11,,,2026-05-23 21:57:01.334824,1
264,Friday,15:20-16:00,7,12,6,,,2026-05-23 21:57:01.334824,1
267,Monday,08:20-09:00,8,17,3,,,2026-06-07 15:12:43.024,1
268,Monday,09:00-09:40,8,15,3,,,2026-06-07 15:12:44.029,1
269,Monday,09:40-10:20,8,9,3,,,2026-06-07 15:12:44.526,1
270,Monday,10:40-11:20,8,10,3,,,2026-06-07 15:12:45.181,1
271,Monday,08:20-09:00,8,11,4,,,2026-06-07 15:12:45.653,1
272,Monday,11:20-12:00,8,16,3,,,2026-06-07 15:12:47.12,1
273,Monday,08:20-09:00,8,12,6,,,2026-06-07 15:12:48.217,1
274,Monday,09:00-09:40,8,13,4,,,2026-06-07 15:12:49.148,1
275,Monday,09:40-10:20,8,14,4,,,2026-06-07 15:12:50.069,1
